State Name,Sector,Year,Geography ID,Source,Consumption MMBtu,Expenditure US Dollars
Alabama,commercial,2017,G01,elec,98297913.55214036,3389895442.8318734
Alabama,industrial,2017,G01,elec,107727030.36029226,1938537061.8839111
Alabama,residential,2017,G01,elec,88469864.57089116,3265500329.087682
Alabama,commercial,2018,G01,elec,101243655.01492193,3177572576.2085814
Alabama,industrial,2018,G01,elec,111528708.92985132,1942696085.484596
Alabama,residential,2018,G01,elec,96608010.5452467,3291335803.2824607
Alabama,commercial,2019,G01,elec,99885885.36498562,3125442812.841229
Alabama,industrial,2019,G01,elec,114725850.03478439,2009909262.4380972
Alabama,residential,2019,G01,elec,95765630.81366138,3251798905.7631764
Alabama,commercial,2020,G01,elec,101091994.97266684,2938433109.20291
Alabama,industrial,2020,G01,elec,113453512.42110668,1885474957.780532
Alabama,residential,2020,G01,elec,94781018.24255799,3042999988.0954022
Alabama,commercial,2021,G01,elec,101370561.48366429,2922658916.378656
Alabama,industrial,2021,G01,elec,112747961.02109306,1851336651.830907
Alabama,residential,2021,G01,elec,93829836.22418244,2999521037.867277
Alabama,commercial,2022,G01,elec,101515798.79284698,2903755592.8130198
Alabama,industrial,2022,G01,elec,111526042.86294682,1814881244.4349883
Alabama,residential,2022,G01,elec,92949056.89773138,2973107765.695415
Alabama,commercial,2023,G01,elec,101187328.17977837,2861284169.8429313
Alabama,industrial,2023,G01,elec,110269254.13703945,1795512704.7523727
Alabama,residential,2023,G01,elec,92050353.45393316,2933947623.7101774
Alabama,commercial,2024,G01,elec,100886233.94873524,2826974588.524702
Alabama,industrial,2024,G01,elec,110935934.07915555,1816561272.5417125
Alabama,residential,2024,G01,elec,91304720.92129675,2902119646.8873677
Alabama,commercial,2025,G01,elec,100567324.78970674,2822575437.0751867
Alabama,industrial,2025,G01,elec,111705507.53582728,1849840132.5164478
Alabama,residential,2025,G01,elec,90531078.8908117,2896780936.4382567
Alabama,commercial,2026,G01,elec,100097291.75423655,2796137536.21556
Alabama,industrial,2026,G01,elec,112237886.31614156,1863487638.9721339
Alabama,residential,2026,G01,elec,89887759.1472649,2875970967.5721498
Alabama,commercial,2027,G01,elec,99657000.78797968,2777261062.533163
Alabama,industrial,2027,G01,elec,113026811.46509244,1873110327.8439124
Alabama,residential,2027,G01,elec,89273016.76464856,2861573233.6145487
Alabama,commercial,2028,G01,elec,99283111.32553177,2756372750.0561633
Alabama,industrial,2028,G01,elec,114107290.062381,1887984161.5232692
Alabama,residential,2028,G01,elec,88802227.2870608,2847455163.9229302
Alabama,commercial,2029,G01,elec,98933568.62358195,2737347526.3873386
Alabama,industrial,2029,G01,elec,113737606.97866385,1875359431.466516
Alabama,residential,2029,G01,elec,88370553.20374332,2837035884.8393493
Alabama,commercial,2030,G01,elec,98396008.79837926,2704204992.9274664
Alabama,industrial,2030,G01,elec,114810257.46829835,1889569384.923834
Alabama,residential,2030,G01,elec,87942047.71098164,2815838711.2569094
Alabama,commercial,2031,G01,elec,97932725.1124877,2676200725.263307
Alabama,industrial,2031,G01,elec,116534605.70623238,1914895121.330875
Alabama,residential,2031,G01,elec,87572705.40790634,2802264656.9251275
Alabama,commercial,2032,G01,elec,97503957.00484371,2661408340.395598
Alabama,industrial,2032,G01,elec,117778280.5758159,1938910822.4386253
Alabama,residential,2032,G01,elec,87165095.77555133,2796228216.7436304
Alabama,commercial,2033,G01,elec,97101624.40166633,2648402458.758398
Alabama,industrial,2033,G01,elec,118639683.96449333,1955595821.9664643
Alabama,residential,2033,G01,elec,86814436.48097187,2791533764.0607443
Alabama,commercial,2034,G01,elec,96731791.74338797,2636395663.501602
Alabama,industrial,2034,G01,elec,120457551.13396113,1984610438.0520506
Alabama,residential,2034,G01,elec,86558251.25281827,2788813016.3233657
Alabama,commercial,2035,G01,elec,96440425.43551831,2616230196.644245
Alabama,industrial,2035,G01,elec,121462329.82450114,2000852661.298559
Alabama,residential,2035,G01,elec,86342530.21494354,2779269310.609813
Alabama,commercial,2036,G01,elec,96211846.03782693,2591432341.116963
Alabama,industrial,2036,G01,elec,122397431.4273182,2017504605.6785524
Alabama,residential,2036,G01,elec,86145655.99197787,2762291707.2028522
Alabama,commercial,2037,G01,elec,96036720.0048617,2572410335.082126
Alabama,industrial,2037,G01,elec,123864267.46067248,2040507012.2731164
Alabama,residential,2037,G01,elec,86072855.93706644,2751739383.0848293
Alabama,commercial,2038,G01,elec,95896179.20874804,2556305292.0147405
Alabama,industrial,2038,G01,elec,125573159.48859182,2067326941.1567922
Alabama,residential,2038,G01,elec,86001043.80709472,2743736343.3752556
Alabama,commercial,2039,G01,elec,95719542.17584364,2565361106.1706877
Alabama,industrial,2039,G01,elec,126294349.11710696,2080197924.6108286
Alabama,residential,2039,G01,elec,85818527.1371892,2755790339.9380083
Alabama,commercial,2040,G01,elec,95343502.93994576,2577609602.361644
Alabama,industrial,2040,G01,elec,127593090.6395138,2099423977.4797773
Alabama,residential,2040,G01,elec,85537133.0027299,2771723211.05932
Alabama,commercial,2041,G01,elec,95023452.53554136,2583054879.782947
Alabama,industrial,2041,G01,elec,128767592.60055266,2123413368.2509224
Alabama,residential,2041,G01,elec,85268069.44064097,2782057836.0012646
Alabama,commercial,2042,G01,elec,94828483.52109312,2555452294.1454706
Alabama,industrial,2042,G01,elec,129633128.13194045,2124291827.7139378
Alabama,residential,2042,G01,elec,85122453.3099986,2761436771.217812
Alabama,commercial,2043,G01,elec,94764490.72748925,2535956044.7384744
Alabama,industrial,2043,G01,elec,130599951.62594804,2142180655.666152
