nsb,Timestamp_UTC,site,lat,lon,elev,sun_alt,sun_az,moon_alt,moon_az
0.234691358,2021-03-06 16:00:00,Arl,38.883,-77.133,276,42.022923958812335,152.82997394342343,2.2319329283569354,235.25709198893708
0.0,2021-03-06 17:00:00,Arl,38.883,-77.133,276,45.491465964609844,173.0054014146713,-7.494738175817525,244.11487149960874
0.0,2021-03-06 18:00:00,Arl,38.883,-77.133,276,44.766989668880186,194.2133058562401,-17.910437599571722,252.26423473421937
0.0,2021-03-06 19:00:00,Arl,38.883,-77.133,276,40.03706483475388,213.46065819435384,-28.763826265389383,260.17214265219906
0.0,2021-03-06 20:00:00,Arl,38.883,-77.133,276,32.3089154562289,229.34486605814683,-39.84584728381538,268.4422740440589
0.0,2021-03-06 21:00:00,Arl,38.883,-77.133,276,22.659609041527556,242.23159698343804,-50.93482744395303,278.0741721083752
1.924166667,2021-03-06 22:00:00,Arl,38.883,-77.133,276,11.875323519367624,253.0777308691123,-61.66952366775389,291.2416035791666
12.45491667,2021-03-06 23:00:00,Arl,38.883,-77.133,276,0.47624754747399467,262.8051945214913,-71.08767911843525,313.81744210861876
17.70441667,2021-03-07 00:00:00,Arl,38.883,-77.133,276,-11.16778767229488,272.2206856101413,-75.92981972103412,357.3133120217114
17.75933333,2021-03-07 01:00:00,Arl,38.883,-77.133,276,-22.731887336576353,282.129650467885,-71.95979845271079,43.093536927611396
17.81233333,2021-03-07 02:00:00,Arl,38.883,-77.133,276,-33.831100369713916,293.52147807305835,-62.83941711672014,67.41955674631834
17.84783333,2021-03-07 03:00:00,Arl,38.883,-77.133,276,-43.871287384407864,307.7947115494766,-52.216795738836474,81.24630234509537
17.89508333,2021-03-07 04:00:00,Arl,38.883,-77.133,276,-51.81303177670487,326.76663364981476,-41.19393017455408,91.15134486562161
17.93675,2021-03-07 05:00:00,Arl,38.883,-77.133,276,-56.02350322303175,351.26483455425745,-30.16667868875754,99.54140611082953
17.96216667,2021-03-07 06:00:00,Arl,38.883,-77.133,276,-55.07327257691264,17.784975085586673,-19.36652270288062,107.49044426750856
17.9745,2021-03-07 07:00:00,Arl,38.883,-77.133,276,-49.33005191119961,40.43887480109242,-9.004200200882961,115.62486626946612
17.96841667,2021-03-07 08:00:00,Arl,38.883,-77.133,276,-40.48220934101185,57.53715649732823,0.6722327247335483,124.41252825410916
17.96466667,2021-03-07 09:00:00,Arl,38.883,-77.133,276,-29.96857674384837,70.5888241010532,9.340728794380015,134.25570991134074
17.44808333,2021-03-07 10:00:00,Arl,38.883,-77.133,276,-18.639010495554974,81.3088913466838,16.582393853979184,145.47723717043877
8.52075,2021-03-07 11:00:00,Arl,38.883,-77.133,276,-6.990315802884449,90.9263964482393,21.892468291212527,158.2037216308333
0.0,2021-03-07 12:00:00,Arl,38.883,-77.133,276,4.6291403337567605,100.34037792187496,24.76410936312286,172.17701409150166
0.0,2021-03-07 13:00:00,Arl,38.883,-77.133,276,15.892381366957837,110.33888349204891,24.857086761610162,186.66454361770354
0.0,2021-03-07 14:00:00,Arl,38.883,-77.133,276,26.39261606040167,121.76537041707648,22.159534384716764,200.69362347635646
0.0,2021-03-07 15:00:00,Arl,38.883,-77.133,276,35.531080984839015,135.5945869814167,16.994248523239236,213.5045584909387
0.0,2021-03-07 16:00:00,Arl,38.883,-77.133,276,42.40761344732251,152.71698969072457,9.862901668124229,224.80766663894232
0.0,2021-03-07 17:00:00,Arl,38.883,-77.133,276,45.88458111760778,173.0372655529942,1.273586557157843,234.7089395843583
0.0,2021-03-07 18:00:00,Arl,38.883,-77.133,276,45.137428016082325,194.40212855230175,-8.348954387126417,243.5204998537883
0.0,2021-03-07 19:00:00,Arl,38.883,-77.133,276,40.36227920401095,213.75154132367243,-18.677950806390893,251.63648779124551
0.0,2021-03-07 20:00:00,Arl,38.883,-77.133,276,32.58655196065391,229.67600783785264,-29.46346226841612,259.5111404443579
0.0,2021-03-07 21:00:00,Arl,38.883,-77.133,276,22.899105157298376,242.57088023058756,-40.497462265232194,267.7403687109933
1.812166667,2021-03-07 22:00:00,Arl,38.883,-77.133,276,12.088880397957679,253.4162426234618,-51.56067747836092,277.3243208848039
12.33066667,2021-03-07 23:00:00,Arl,38.883,-77.133,276,0.6756394450705924,263.1451285618143,-62.29660689526015,290.4777930677439
17.69883333,2021-03-08 00:00:00,Arl,38.883,-77.133,276,-10.971220409685309,272.5687822970092,-71.73714829592134,313.37343105137194
17.75308333,2021-03-08 01:00:00,Arl,38.883,-77.133,276,-22.52610668557777,282.4939067600834,-76.47043944763934,358.4924757571058
17.78466667,2021-03-08 02:00:00,Arl,38.883,-77.133,276,-33.60186623918896,293.90708938989286,-72.15326008743027,44.78889225038672
17.84825,2021-03-08 03:00:00,Arl,38.883,-77.133,276,-43.60130151865401,308.1924336670268,-62.83482150904784,68.53249232269184
17.89608333,2021-03-08 04:00:00,Arl,38.883,-77.133,276,-51.48613599840109,327.1221331113269,-52.123479348067114,81.98695030582435
17.93141667,2021-03-08 05:00:00,Arl,38.883,-77.133,276,-55.64349797356617,351.45289091825873,-41.05229145894495,91.68354213616338
17.94116667,2021-03-08 06:00:00,Arl,38.883,-77.133,276,-54.68030207255098,17.72536871021937,-29.99215804520777,99.94977373110088
17.954,2021-03-08 07:00:00,Arl,38.883,-77.133,276,-48.9631591881091,40.21714338685473,-19.164971545252364,107.82223205233815
17.956,2021-03-08 08:00:00,Arl,38.883,-77.133,276,-40.14887662097033,57.260244635050604,-8.777469268184987,115.91047257328643
