nsb,Timestamp_UTC,Timestamp_local
14.265,2024-07-12 11:00:00,2024-07-12 06:00:00
16.427500000000002,2024-07-13 02:00:00,2024-07-12 21:00:00
19.4925,2024-07-13 03:00:00,2024-07-12 22:00:00
19.572499999999998,2024-07-13 04:00:00,2024-07-12 23:00:00
19.9775,2024-07-13 05:00:00,2024-07-13 00:00:00
19.932499999999997,2024-07-13 06:00:00,2024-07-13 01:00:00
19.9025,2024-07-13 07:00:00,2024-07-13 02:00:00
19.5875,2024-07-13 08:00:00,2024-07-13 03:00:00
19.7675,2024-07-13 09:00:00,2024-07-13 04:00:00
18.9275,2024-07-13 10:00:00,2024-07-13 05:00:00
14.085,2024-07-13 11:00:00,2024-07-13 06:00:00
16.3,2024-07-14 02:00:00,2024-07-13 21:00:00
18.5325,2024-07-14 03:00:00,2024-07-13 22:00:00
18.475,2024-07-14 04:00:00,2024-07-13 23:00:00
19.39,2024-07-14 05:00:00,2024-07-14 00:00:00
19.55,2024-07-14 06:00:00,2024-07-14 01:00:00
19.627499999999998,2024-07-14 07:00:00,2024-07-14 02:00:00
19.3125,2024-07-14 08:00:00,2024-07-14 03:00:00
18.96,2024-07-14 09:00:00,2024-07-14 04:00:00
18.6875,2024-07-14 10:00:00,2024-07-14 05:00:00
13.423333333333332,2024-07-14 11:00:00,2024-07-14 06:00:00
16.73,2024-07-15 02:00:00,2024-07-14 21:00:00
19.445,2024-07-15 03:00:00,2024-07-14 22:00:00
19.58,2024-07-15 04:00:00,2024-07-14 23:00:00
19.740000000000002,2024-07-15 05:00:00,2024-07-15 00:00:00
20.0175,2024-07-15 06:00:00,2024-07-15 01:00:00
20.169999999999998,2024-07-15 07:00:00,2024-07-15 02:00:00
20.080000000000002,2024-07-15 08:00:00,2024-07-15 03:00:00
20.2275,2024-07-15 09:00:00,2024-07-15 04:00:00
19.9025,2024-07-15 10:00:00,2024-07-15 05:00:00
14.635000000000002,2024-07-15 11:00:00,2024-07-15 06:00:00
16.7025,2024-07-16 02:00:00,2024-07-15 21:00:00
19.275,2024-07-16 03:00:00,2024-07-15 22:00:00
19.405,2024-07-16 04:00:00,2024-07-15 23:00:00
19.542500000000004,2024-07-16 05:00:00,2024-07-16 00:00:00
19.740000000000002,2024-07-16 06:00:00,2024-07-16 01:00:00
20.1425,2024-07-16 07:00:00,2024-07-16 02:00:00
20.2425,2024-07-16 08:00:00,2024-07-16 03:00:00
20.275,2024-07-16 09:00:00,2024-07-16 04:00:00
19.9225,2024-07-16 10:00:00,2024-07-16 05:00:00
14.864999999999998,2024-07-16 11:00:00,2024-07-16 06:00:00
16.705,2024-07-17 02:00:00,2024-07-16 21:00:00
18.715,2024-07-17 03:00:00,2024-07-16 22:00:00
19.095,2024-07-17 04:00:00,2024-07-16 23:00:00
19.375,2024-07-17 05:00:00,2024-07-17 00:00:00
19.59,2024-07-17 06:00:00,2024-07-17 01:00:00
19.95,2024-07-17 07:00:00,2024-07-17 02:00:00
20.43,2024-07-17 08:00:00,2024-07-17 03:00:00
20.362499999999997,2024-07-17 09:00:00,2024-07-17 04:00:00
19.947499999999998,2024-07-17 10:00:00,2024-07-17 05:00:00
14.985,2024-07-17 11:00:00,2024-07-17 06:00:00
16.1275,2024-07-18 02:00:00,2024-07-17 21:00:00
17.432499999999997,2024-07-18 03:00:00,2024-07-17 22:00:00
17.630000000000003,2024-07-18 04:00:00,2024-07-17 23:00:00
17.742499999999996,2024-07-18 05:00:00,2024-07-18 00:00:00
17.8325,2024-07-18 06:00:00,2024-07-18 01:00:00
18.177500000000002,2024-07-18 07:00:00,2024-07-18 02:00:00
18.555,2024-07-18 08:00:00,2024-07-18 03:00:00
19.075,2024-07-18 09:00:00,2024-07-18 04:00:00
18.962500000000002,2024-07-18 10:00:00,2024-07-18 05:00:00
15.299999999999999,2024-07-18 11:00:00,2024-07-18 06:00:00
16.4125,2024-07-19 02:00:00,2024-07-18 21:00:00
18.07,2024-07-19 03:00:00,2024-07-18 22:00:00
18.33,2024-07-19 04:00:00,2024-07-18 23:00:00
18.345,2024-07-19 05:00:00,2024-07-19 00:00:00
18.735,2024-07-19 06:00:00,2024-07-19 01:00:00
18.985,2024-07-19 07:00:00,2024-07-19 02:00:00
19.265,2024-07-19 08:00:00,2024-07-19 03:00:00
20.1025,2024-07-19 09:00:00,2024-07-19 04:00:00
20.0925,2024-07-19 10:00:00,2024-07-19 05:00:00
15.259999999999998,2024-07-19 11:00:00,2024-07-19 06:00:00
16.4475,2024-07-20 02:00:00,2024-07-19 21:00:00
18.395,2024-07-20 03:00:00,2024-07-19 22:00:00
18.2125,2024-07-20 04:00:00,2024-07-19 23:00:00
17.825,2024-07-20 05:00:00,2024-07-20 00:00:00
17.695,2024-07-20 06:00:00,2024-07-20 01:00:00
18.3375,2024-07-20 07:00:00,2024-07-20 02:00:00
18.7625,2024-07-20 08:00:00,2024-07-20 03:00:00
18.92,2024-07-20 09:00:00,2024-07-20 04:00:00
19.3125,2024-07-20 10:00:00,2024-07-20 05:00:00
15.120000000000001,2024-07-20 11:00:00,2024-07-20 06:00:00
16.6725,2024-07-21 02:00:00,2024-07-20 21:00:00
18.19,2024-07-21 03:00:00,2024-07-20 22:00:00
17.5075,2024-07-21 04:00:00,2024-07-20 23:00:00
17.145,2024-07-21 05:00:00,2024-07-21 00:00:00
17.105,2024-07-21 06:00:00,2024-07-21 01:00:00
17.6625,2024-07-21 07:00:00,2024-07-21 02:00:00
17.525,2024-07-21 08:00:00,2024-07-21 03:00:00
