nsb,Timestamp_UTC,site,lat,lon,elev,sun_alt,sun_az,moon_alt,moon_az
19.39810345,2022-07-21 03:00:00,Cre,37.983,-105.7,7973,-7.339059503153619,303.24761385671786,-35.61459048546183,30.85587150905692
21.85075,2022-07-21 04:00:00,Cre,37.983,-105.7,7973,-16.580325684937858,314.07420117186945,-28.404386021674416,45.21116677483784
21.69525,2022-07-21 05:00:00,Cre,37.983,-105.7,7973,-24.134251885762982,326.7219055933092,-19.353686873115297,57.118602486048204
21.48283333,2022-07-21 06:00:00,Cre,37.983,-105.7,7973,-29.332494151875427,341.35093837655205,-9.10099763206698,67.2218079640881
21.16216667,2022-07-21 07:00:00,Cre,37.983,-105.7,7973,-31.523204737575536,357.459355495257,1.910749276962491,76.21466402736343
21.02583333,2022-07-21 08:00:00,Cre,37.983,-105.7,7973,-30.366610514727178,13.79944589779125,13.367595635132867,84.74561733562695
20.88516667,2022-07-21 09:00:00,Cre,37.983,-105.7,7973,-26.04764652511318,28.98706976496836,25.012926766410043,93.4870748683873
20.16158333,2022-07-21 10:00:00,Cre,37.983,-105.7,7973,-19.155400182878914,42.26603171125912,36.57296453175188,103.31024730905203
16.66405405,2022-07-21 11:00:00,Cre,37.983,-105.7,7973,-10.377522524225105,53.6274983308368,47.64118522835066,115.62920197256602
,2022-07-21 12:00:00,Cre,37.983,-105.7,7973,-0.2985175897947782,63.474839874425555,57.4207015528108,133.02711100841228
,2022-07-21 13:00:00,Cre,37.983,-105.7,7973,10.64456093566867,72.34146685690786,64.17195457613643,159.29217037302945
,2022-07-21 14:00:00,Cre,37.983,-105.7,7973,22.12928403855092,80.80292990932976,65.17499496838353,193.12667179673713
,2022-07-21 15:00:00,Cre,37.983,-105.7,7973,33.89324827735067,89.54412860796005,59.863531436185426,222.31207224399898
,2022-07-21 16:00:00,Cre,37.983,-105.7,7973,45.661689577852066,99.60386688358356,50.80456912230179,241.95042591162004
,2022-07-21 17:00:00,Cre,37.983,-105.7,7973,57.00150307462076,113.04184432321576,40.124352714602146,255.49334064694824
,2022-07-21 18:00:00,Cre,37.983,-105.7,7973,66.86785576948391,134.7373258695985,28.831217412283387,265.9821611051164
,2022-07-21 19:00:00,Cre,37.983,-105.7,7973,72.26007708917949,172.8528496422361,17.41834486363609,275.09624440797705
,2022-07-21 20:00:00,Cre,37.983,-105.7,7973,69.22485436151729,215.47486745382687,6.1972255705272525,283.81795086036584
,2022-07-21 21:00:00,Cre,37.983,-105.7,7973,60.269960016684465,241.44857982112478,-4.559215870710669,292.84484210829334
,2022-07-21 22:00:00,Cre,37.983,-105.7,7973,49.213978342479436,256.6931218309641,-14.537236208535674,302.7866536103184
,2022-07-21 23:00:00,Cre,37.983,-105.7,7973,37.509864088664514,267.4880897383795,-23.319526482267005,314.2344306160494
,2022-07-22 00:00:00,Cre,37.983,-105.7,7973,25.702426302405936,276.49080763062165,-30.338194052435238,327.68478558071365
,2022-07-22 01:00:00,Cre,37.983,-105.7,7973,14.092268622816396,284.9495650069605,-34.89590381250468,343.2408346771143
15.464,2022-07-22 02:00:00,Cre,37.983,-105.7,7973,2.935659672098282,293.62083374867444,-36.35300205976114,0.1836496897376862
19.47756303,2022-07-22 03:00:00,Cre,37.983,-105.7,7973,-7.470452449414984,303.1014145433342,-34.461630555551075,16.999510010631646
21.60966387,2022-07-22 04:00:00,Cre,37.983,-105.7,7973,-16.72981087200788,313.94205476049126,-29.534973479286577,32.24108551482126
21.53066667,2022-07-22 05:00:00,Cre,37.983,-105.7,7973,-24.30317309605423,326.61263638586934,-22.23479298691287,45.30653507405721
21.416,2022-07-22 06:00:00,Cre,37.983,-105.7,7973,-29.51857710977508,341.2789717782003,-13.243562857348314,56.36476728310175
21.29533333,2022-07-22 07:00:00,Cre,37.983,-105.7,7973,-31.719013799957594,357.43881043426916,-3.1018772525536646,65.91927603472033
21.13658333,2022-07-22 08:00:00,Cre,37.983,-105.7,7973,-30.561193567310927,13.833787785533312,7.8006436319666825,74.53658300161835
21.08791667,2022-07-22 09:00:00,Cre,37.983,-105.7,7973,-26.231403137561202,29.066339198699698,19.17844881995754,82.78662338167311
20.46825,2022-07-22 10:00:00,Cre,37.983,-105.7,7973,-19.32344504743365,42.37550649814928,30.793832545577025,91.31613169461812
16.79384615,2022-07-22 11:00:00,Cre,37.983,-105.7,7973,-10.529292366948615,53.75604607063308,42.38984130457057,101.0555520441407
,2022-07-22 12:00:00,Cre,37.983,-105.7,7973,-0.43591142092458085,63.61707456086479,53.566464514995545,113.71697932166153
,2022-07-22 13:00:00,Cre,37.983,-105.7,7973,10.518513529197639,72.49678895744569,63.4405946807915,132.97685186593782
,2022-07-22 14:00:00,Cre,37.983,-105.7,7973,22.01088125847339,80.97447358838279,69.7228634584841,165.0639697533865
,2022-07-22 15:00:00,Cre,37.983,-105.7,7973,33.77786041759961,89.73851194041497,68.81969286004168,205.2148781572767
,2022-07-22 16:00:00,Cre,37.983,-105.7,7973,45.54273146626719,99.83133029263182,61.44257810838732,233.94444011171092
,2022-07-22 17:00:00,Cre,37.983,-105.7,7973,56.86815646912068,113.31239190289622,51.22562636081273,251.24648631890705
,2022-07-22 18:00:00,Cre,37.983,-105.7,7973,66.70255836953483,135.01912924008107,40.03056550572737,263.086072432685
,2022-07-22 19:00:00,Cre,37.983,-105.7,7973,72.0610375883535,172.8911639833883,28.58216755562346,272.5387963856828
,2022-07-22 20:00:00,Cre,37.983,-105.7,7973,69.05491774169491,215.18075147147331,17.238680359522387,281.0651284122305
